ID,frequency,source,destination,start,stop,duration,days,timeSpentInDay
1218,S Band,HLS-Disposal,LCN-12hourfrozen-2-LowPower,29.268288715277777,29.74742759259259,0.4791388773148135,[29],[0.4791388773148135]
1213,S Band,HLS-Disposal,LCN-12hourfrozen-2-LowPower,23.270512662037035,23.67537037037037,0.4048577083333349,[23],[0.4048577083333349]
1205,S Band,HLS-Disposal,LCN-12hourfrozen-1-LowPower,27.692175925925923,27.908148148148147,0.21597222222222356,[27],[0.21597222222222356]
1133,Ka Band,HLS-Disposal,DSS-26,26.691363113425925,27.28428259259259,0.5929194791666639,"[26, 27]","[0.3086368865740745, 0.28428259259258937]"
1132,Ka Band,HLS-Disposal,DSS-26,25.657768530092593,26.245928912037034,0.5881603819444408,"[25, 26]","[0.34223146990740716, 0.2459289120370336]"
1131,Ka Band,HLS-Disposal,DSS-26,24.622675613425926,25.207531689814815,0.5848560763888884,"[24, 25]","[0.37732438657407386, 0.2075316898148145]"
1280,S Band,HLS-Docked,LCN-12hourfrozen-1-LowPower,15.140277777777778,15.497728344907408,0.3574505671296304,[15],[0.3574505671296304]
1281,S Band,HLS-Docked,LCN-12hourfrozen-1-LowPower,15.517098530092591,15.633831180555555,0.11673265046296422,[15],[0.11673265046296422]
1230,Ka Band,HLS-Docked,DSS-26,11.248205613425926,11.592640127314814,0.34443451388888846,[11],[0.34443451388888846]
1233,Ka Band,HLS-Docked,DSS-26,14.365953553240741,14.697232800925926,0.3312792476851847,[14],[0.3312792476851847]
1231,Ka Band,HLS-Docked,DSS-26,12.294602546296296,12.615639155092593,0.32103660879629636,[12],[0.32103660879629636]
1232,Ka Band,HLS-Docked,DSS-26,13.334987974537036,13.65037366898148,0.3153856944444442,[13],[0.3153856944444442]
1261,Ka Band,HLS-Docked,DSS-54,11.989572673611113,12.272061550925926,0.28248887731481354,"[11, 12]","[0.010427326388887437, 0.2720615509259261]"
1263,Ka Band,HLS-Docked,DSS-54,14.067618645833333,14.34594539351852,0.2783267476851865,[14],[0.2783267476851865]
1262,Ka Band,HLS-Docked,DSS-54,13.034677523148149,13.300998969907406,0.26632144675925673,[13],[0.26632144675925673]
911,Ka Band,Gateway-EOR,LEGS1-WS,28.73677037037037,29.335354062500002,0.5985836921296332,"[28, 29]","[0.26322962962963103, 0.3353540625000022]"
