ID,frequency,source,destination,start,stop,duration,conflicts,days,timeSpentInDay
668,Ka Band,Sat1,Svalbard,17.576502881012857,17.58450288232416,0.008000001311302185,[],[17],[0.008000001311302185]
676,Ka Band,Sat1,Svalbard,18.15850297641009,18.166502977721393,0.008000001311302185,[],[18],[0.008000001311302185]
677,Ka Band,Sat1,Svalbard,18.230002988129854,18.2375029893592,0.0075000012293457985,[],[18],[0.0075000012293457985]
680,Ka Band,Sat1,Svalbard,18.435003021731973,18.441503022797406,0.006500001065433025,[],[18],[0.006500001065433025]
681,Ka Band,Sat1,Svalbard,18.505503033287823,18.51300303451717,0.0075000012293457985,[],[18],[0.0075000012293457985]
682,Ka Band,Sat1,Svalbard,18.57650304492563,18.584003046154976,0.0075000012293457985,[],[18],[0.0075000012293457985]
690,Ka Band,Sat1,Svalbard,19.158503140322864,19.166503141634166,0.008000001311302185,[],[19],[0.008000001311302185]
691,Ka Band,Sat1,Svalbard,19.22950315196067,19.237503153271973,0.008000001311302185,[],[19],[0.008000001311302185]
692,Ka Band,Sat1,Svalbard,19.294003162533045,19.308003164827824,0.014000002294778824,"[{'Item1': 271, 'Item2': 3}]",[19],[0.014000002294778824]
697,Ka Band,Sat1,Svalbard,19.64750322047621,19.655003221705556,0.0075000012293457985,[],[19],[0.0075000012293457985]
705,Ka Band,Sat1,Svalbard,20.229503315873444,20.23700331710279,0.0075000012293457985,[],[20],[0.0075000012293457985]
708,Ka Band,Sat1,Svalbard,20.434503349475563,20.441503350622952,0.007000001147389412,[],[20],[0.007000001147389412]
709,Ka Band,Sat1,Svalbard,20.505003361031413,20.51250336226076,0.0075000012293457985,[],[20],[0.0075000012293457985]
710,Ka Band,Sat1,Svalbard,20.57600337266922,20.583503373898566,0.0075000012293457985,[],[20],[0.0075000012293457985]
718,Ka Band,Sat1,Svalbard,21.158003468066454,21.166003469377756,0.008000001311302185,[],[21],[0.008000001311302185]
719,Ka Band,Sat1,Svalbard,21.22900347970426,21.237003481015563,0.008000001311302185,[],[21],[0.008000001311302185]
720,Ka Band,Sat1,Svalbard,21.293503490276635,21.307503492571414,0.014000002294778824,"[{'Item1': 299, 'Item2': 3}]",[21],[0.014000002294778824]
733,Ka Band,Sat1,Svalbard,22.229003643617034,22.23650364484638,0.0075000012293457985,[],[22],[0.0075000012293457985]
