ID,frequency,source,destination,start,stop,duration,conflicts,days,timeSpentInDay
105,Ka Band,Sat1,ASF,9.090605312592567,9.101974029247224,0.011368716654656552,[],[9],[0.011368716654656552]
35,Ka Band,Sat1,ASF,3.1540356155630516,3.1654030811265947,0.011367465563543178,[],[3],[0.011367465563543178]
110,Ka Band,Sat1,ASF,9.672341352452127,9.683708694054564,0.011367341602436909,[],[9],[0.011367341602436909]
242,Ka Band,Sat1,ASF,21.687151056885824,21.69851669264767,0.011365635761844572,[],[21],[0.011365635761844572]
237,Ka Band,Sat1,ASF,21.105420422880716,21.11678431794778,0.011363895067063368,[],[21],[0.011363895067063368]
295,Ka Band,Sat1,ASF,26.04077659967179,26.052123496324928,0.01134689665313715,[],[26],[0.01134689665313715]
52,Ka Band,Sat1,ASF,4.737001457662722,4.748344910584381,0.011343452921658503,[],[4],[0.011343452921658503]
93,Ka Band,Sat1,ASF,8.089399663664615,8.100742978310755,0.011343314646140357,[],[8],[0.011343314646140357]
301,Ka Band,Sat1,ASF,26.62248640619936,26.63382892728242,0.011342521083058443,[],[26],[0.011342521083058443]
254,Ka Band,Sat1,ASF,22.688382018478,22.699721824059043,0.01133980558104497,[],[22],[0.01133980558104497]
46,Ka Band,Sat1,ASF,4.155300808711007,4.16663931423169,0.011338505520683384,[],[4],[0.011338505520683384]
99,Ka Band,Sat1,ASF,8.671105092734853,8.68244346703804,0.011338374303186072,[],[8],[0.011338374303186072]
248,Ka Band,Sat1,ASF,22.106686299214203,22.11802059352034,0.011334294306134751,[],[22],[0.011334294306134751]
283,Ka Band,Sat1,ASF,25.03957447707634,25.050893007890792,0.011318530814452998,[],[25],[0.011318530814452998]
64,Ka Band,Sat1,ASF,5.738231870349444,5.749546507249835,0.011314636900390695,[],[5],[0.011314636900390695]
81,Ka Band,Sat1,ASF,7.088198079937881,7.099512578578675,0.011314498640793147,[],[7],[0.011314498640793147]
266,Ka Band,Sat1,ASF,23.689612341246477,23.700922882324235,0.011310541077758529,[],[23],[0.011310541077758529]
289,Ka Band,Sat1,ASF,25.62125001079482,25.632559246234532,0.011309235439711074,[],[25],[0.011309235439711074]
58,Ka Band,Sat1,ASF,5.156571141038218,5.167875751435515,0.011304610397297132,[],[5],[0.011304610397297132]
87,Ka Band,Sat1,ASF,7.669868676874933,7.681173093098555,0.011304416223621772,[],[7],[0.011304416223621772]
260,Ka Band,Sat1,ASF,23.10795732605261,23.119257031493593,0.011299705440983132,[],[23],[0.011299705440983132]
271,Ka Band,Sat1,ASF,24.038376375822082,24.049663207071955,0.01128683124987262,[],[24],[0.01128683124987262]
76,Ka Band,Sat1,ASF,6.739461585736549,6.750744107691125,0.01128252195457602,[],[6],[0.01128252195457602]
69,Ka Band,Sat1,ASF,6.08700050518706,6.098282872291027,0.011282367103967239,[],[6],[0.011282367103967239]
278,Ka Band,Sat1,ASF,24.690841961088122,24.702119955695498,0.011277994607375774,[],[24],[0.011277994607375774]
277,Ka Band,Sat1,ASF,24.620013468404,24.631284333215238,0.011270864811237402,[],[24],[0.011270864811237402]
70,Ka Band,Sat1,ASF,6.157846743932832,6.169112299797443,0.011265555864611088,[],[6],[0.011265555864611088]
75,Ka Band,Sat1,ASF,6.6686321191108595,6.679897476408127,0.011265357297267187,[],[6],[0.011265357297267187]
272,Ka Band,Sat1,ASF,24.10923363329316,24.120493594474937,0.011259961181774969,[],[24],[0.011259961181774969]
259,Ka Band,Sat1,ASF,23.03718219316168,23.04843413494561,0.011251941783928743,[],[23],[0.011251941783928743]
88,Ka Band,Sat1,ASF,7.740690564174497,7.75193779635038,0.01124723217588297,[],[7],[0.01124723217588297]
57,Ka Band,Sat1,ASF,5.085806838826236,5.097053899614398,0.011247060788162067,[],[5],[0.011247060788162067]
290,Ka Band,Sat1,ASF,25.69207083935441,25.70331312894906,0.011242289594648014,[],[25],[0.011242289594648014]
265,Ka Band,Sat1,ASF,23.618776830510157,23.63000410701527,0.011227276505113792,[],[23],[0.011227276505113792]
82,Ka Band,Sat1,ASF,7.159127650309611,7.170348943951301,0.011221293641689556,[],[7],[0.011221293641689556]
63,Ka Band,Sat1,ASF,5.667395470431752,5.678616535547476,0.011221065115723405,[],[5],[0.011221065115723405]
284,Ka Band,Sat1,ASF,25.11051525553376,25.121730268153772,0.011215012620013454,[],[25],[0.011215012620013454]
247,Ka Band,Sat1,ASF,22.035991839171874,22.047205825170817,0.011213985998942633,[],[22],[0.011213985998942633]
100,Ka Band,Sat1,ASF,8.741918763541781,8.753127660312302,0.011208896770520838,[],[8],[0.011208896770520838]
45,Ka Band,Sat1,ASF,4.084616988615955,4.095825695711948,0.011208707095993198,[],[4],[0.011208707095993198]
302,Ka Band,Sat1,ASF,26.693298932211928,26.704502489408444,0.011203557196516556,[],[26],[0.011203557196516556]
253,Ka Band,Sat1,ASF,22.617540131475696,22.628718481859025,0.011178350383328706,[],[22],[0.011178350383328706]
236,Ka Band,Sat1,ASF,21.034805239313297,21.045978327107246,0.011173087793949321,[],[21],[0.011173087793949321]
